CellSwc[0].Dend[1195],CellSwc[1].Dend[2131],49.717326
CellSwc[0].Dend[2007],CellSwc[1].Dend[2103],19.058599
CellSwc[0].Dend[2949],CellSwc[1].Dend[2120],36.208304
CellSwc[0].Dend[2878],CellSwc[1].Dend[2079],47.512922
CellSwc[0].Dend[3089],CellSwc[1].Dend[2069],15.867166
CellSwc[0].Dend[2190],CellSwc[1].Dend[2131],34.039886
CellSwc[0].Dend[3582],CellSwc[1].Dend[2101],53.942381
CellSwc[0].Dend[2091],CellSwc[1].Dend[2131],47.726118
CellSwc[0].Dend[3029],CellSwc[1].Dend[2057],9.479698
CellSwc[0].Dend[2104],CellSwc[1].Dend[2102],33.950677
